Industry,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7
Chemicals Materials and Nutrition,,,,,,,
,C.A.S.E & Construction,,,,,,
,,Coatings,,,,,
,,,Automotive,,,,
,,,,OEM,,,
,,,,Refinish,,,
,,,Other transportation coatings,,,,
,,,,Aerospace coatings,,,
,,,,Commercial vehicle coatings,,,
,,,,Marine coatings,,,
,,,,,Anticorrosion,,
,,,,,Antifouling,,
,,,,Coatings for rail and other vehicles NEC,,,
,,,Industrial,,,,
,,,,"Agricultural, Construction Equipment, Mining (ACME)",,,
,,,,Coil,,,
,,,,Can,,,
,,,,General Industrial,,,
,,,Construction,,,,
,,,,Decorative,,,
,,,,"Protective (Anticorrosion, Fire, etc.)",,,
,,,,Road marking paints,,,
,,,Wood,,,,
,,,,Interior/exterior trim and cladding paints,,,
,,,,Interior/exterior trim varnishes and stains,,,
,,,,Minimal build stains (thickness <5 microns),,,
,,,,Primers,,,
,,,,One and two-pack performance coatings,,,
,,,Energy,,,,
,,,,O&G (structural & pipelines),,,
,,,,Wind,,,
,,,,Solar,,,
,,,,Others,,,
,,,Coating Raw Materials,,,,
,,,,Resin,,,
,,,,Pigments,,,
,,,,Additives,,,
,,,,Solvents,,,
,,Adhesives & Sealants,,,,,
,,,Construction Adhesives & Sealants,,,,
,,,,Construction Adhesives,,,
,,,,Construction Sealants,,,
,,,,Chemical Anchors,,,
,,,Packaging Adhesives & Sealants,,,,
,,,,Flexible packaging adhesives,,,
,,,,Other packaging adhesives & sealants,,,
,,,Transportation Adhesives & Sealants,,,,
,,,,Automotive Adhesives & Sealants,,,
,,,,,Automotive OEM Adhesives & Sealants,,
,,,,,Automotive Aftermarket & Repair Adhesives & Sealants,,
,,,,Aerospace Adhesives & Sealants,,,
,,,,Adhesives & Sealants for other forms of transport,,,
,,,Industrial Assembly Adhesives & Sealants,,,,
,,,,Woodworking adhesives,,,
,,,,"Adhesives for footwear, leather goods etc.",,,
,,,,"Adhesives for nonwovens, disposables etc.",,,
,,,,Glass bonding adhesives,,,
,,,,Paper & bookbinding adhesives,,,
,,,,Textile Adhesives,,,
,,,,General product assembly adhesives,,,
,,,Electrical & Electronics Adhesives & Sealants,,,,
,,,,Surface mount component (SMC)/Die attach,,,
,,,,Conformal Coatings in PCBs,,,
,,,,"Panel, glass and assembly bonding",,,
,,,,Potting and encapsulation,,,
,,,,Gasketing,,,
,,,,Thread sealing,,,
,,,,"Noise, vibration and harness (NVH), glass and seam sealing",,,
,,,,Flexible sealing in electronics,,,
,,,,"Electromagnetic Interference (EMI) sealing, electrical insulation and gap filling",,,
,,,,Glob-top encapsulation and sealing,,,
,,,,"Others (wire tacking adhesion, integrated circuit (IC) bonding, and bonding of heat sinks and exterior plastic housing)",,,
,,,Craft and DIY Adhesives,,,,
,,,Adhesives & Sealants Raw Materials,,,,
,,,,Resins,,,
,,,,Tackifiers,,,
,,,,Solvents,,,
,,,,Additives,,,
,,Elastomers,,,,,
,,,SBR,,,,
,,,BR,,,,
,,,EPDM,,,,
,,,NBR,,,,
,,,CR,,,,
,,,IIR,,,,
,,,Silicones,,,,
,,Inks,,,,,
,,,All inks and overprint varnishes,,,,
,,Construction Materials,,,,,
,,,Construction Chemicals,,,,
,,,Thermal Insulation,,,,
,,,Engineered wood,,,,
,,,Engineered stone,,,,
,,,Specialist Flooring Materials,,,,
,,,Specialist Roofing Materials,,,,
,,,Specialist Facade Materials,,,,
,,,Specialist Glazing Materials,,,,
,,,"Other plastic building components (pipes, wire & cable, breathable membranes etc.)",,,,
,,,Construction Coatings and Adhesives (covered under the C.A.S.E. part of the program),,,,
,,,Other specialist construction materials NEC,,,,
,"Food, Nutrition & Wellness",,,,,,
,,Agricultural Commodities,,,,,
,,,Grains,,,,
,,,,Maize,,,
,,,,Rice,,,
,,,,Wheat,,,
,,,,"Other (Barley, Oats, Rye)",,,
,,,Pulses,,,,
,,,,Soybean,,,
,,,,Pea,,,
,,,,Favabean,,,
,,,,Other pulses,,,
,,,Oilseeds and Crops,,,,
,,,,Palm Oil,,,
,,,,Palm Kernal Oil,,,
,,,,Rapeseed,,,
,,,,Groundnuts/Peanut,,,
,,,,Other oilseed crops,,,
,,,Sugar Crops,,,,
,,,,Cane,,,
,,,,Beets,,,
,,,"Fruit, Vegetables and Nuts",,,,
,,,,Root Vegetables,,,
,,,,Green Vegetables,,,
,,,,Melons and Squashes,,,
,,,,Berries and Vines,,,
,,,,Fruit from Orchards,,,
,,,,Tree Nuts,,,
,,,Livestock,,,,
,,,,Meat & Dairy,,,
,,,,Poultry & Egg,,,
,,,,Aquaculture & Seafood,,,
,,,,"Microculture (e.g. Yeast, Cultures, etc)",,,
,,Agrochemicals,,,,,
,,,Seeds & traits,,,,
,,,Crop Nutrition,,,,
,,,,Nitrogen Fertilizers,,,
,,,,Phosphorus Fertilizer,,,
,,,,Potassium Fertilizers,,,
,,,,Sulfur Fertilizers,,,
,,,,Micronutrients,,,
