"id","segment_1","segment_2","segment_3","segment_4","segment_5","segment_6","segment_7","created_at","updated_at","deleted_at","all_segments_search","industry_name","upto_segment_3_search"
"410f7f7d-263e-4a2a-89b9-c796ea72d43c",C.A.S.E & Construction,,,,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':3 'construct':2 'materi':4 'nutrit':6,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':3 'construct':2 'materi':4 'nutrit':6
b26f9a83-589d-49dd-b63b-4bf999cee626,C.A.S.E & Construction,Coatings,,,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':4 'coat':3 'construct':2 'materi':5 'nutrit':7,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':4 'coat':3 'construct':2 'materi':5 'nutrit':7
"6025db25-65f1-4a29-8746-fae0c987979a",C.A.S.E & Construction,Coatings,Automotive,,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'automot':4 'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'materi':6 'nutrit':8,Chemicals Materials and Nutrition,'automot':4 'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'materi':6 'nutrit':8
"1d656b47-4dfa-458b-a472-891828f7ef63",C.A.S.E & Construction,Coatings,Automotive,OEM,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'automot':4 'c.a.s.e':1 'chemic':6 'coat':3 'construct':2 'materi':7 'nutrit':9 'oem':5,Chemicals Materials and Nutrition,'automot':4 'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'materi':6 'nutrit':8
"460ea6b9-ab75-4a10-a9e7-4da512913960",C.A.S.E & Construction,Coatings,Automotive,Refinish,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'automot':4 'c.a.s.e':1 'chemic':6 'coat':3 'construct':2 'materi':7 'nutrit':9 'refinish':5,Chemicals Materials and Nutrition,'automot':4 'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'materi':6 'nutrit':8
ac6482a4-34e7-48b8-a323-d94d928bede8,C.A.S.E & Construction,Coatings,Other transportation coatings,,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'c.a.s.e':1 'chemic':7 'coat':3,6 'construct':2 'materi':8 'nutrit':10 'transport':5",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':7 'coat':3,6 'construct':2 'materi':8 'nutrit':10 'transport':5"
"5fa96c84-c261-47bc-a406-0be5f50fc8e1",C.A.S.E & Construction,Coatings,Other transportation coatings,Aerospace coatings,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'aerospac':7 'c.a.s.e':1 'chemic':9 'coat':3,6,8 'construct':2 'materi':10 'nutrit':12 'transport':5",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':7 'coat':3,6 'construct':2 'materi':8 'nutrit':10 'transport':5"
"6e01bc61-b6f7-4ee9-a8a2-5c26bf8df882",C.A.S.E & Construction,Coatings,Other transportation coatings,Commercial vehicle coatings,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'c.a.s.e':1 'chemic':10 'coat':3,6,9 'commerci':7 'construct':2 'materi':11 'nutrit':13 'transport':5 'vehicl':8",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':7 'coat':3,6 'construct':2 'materi':8 'nutrit':10 'transport':5"
"96b886cc-7ed1-4262-95b6-3cf7ec33b353",C.A.S.E & Construction,Coatings,Other transportation coatings,Marine coatings,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'c.a.s.e':1 'chemic':9 'coat':3,6,8 'construct':2 'marin':7 'materi':10 'nutrit':12 'transport':5",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':7 'coat':3,6 'construct':2 'materi':8 'nutrit':10 'transport':5"
c97961eb-7e9e-43a4-8c15-1fc03184f936,C.A.S.E & Construction,Coatings,Other transportation coatings,Marine coatings,Anticorrosion,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'anticorros':9 'c.a.s.e':1 'chemic':10 'coat':3,6,8 'construct':2 'marin':7 'materi':11 'nutrit':13 'transport':5",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':7 'coat':3,6 'construct':2 'materi':8 'nutrit':10 'transport':5"
"34af5c0b-ccaf-4d71-a500-f9f496a79c75",C.A.S.E & Construction,Coatings,Other transportation coatings,Marine coatings,Antifouling,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'antifoul':9 'c.a.s.e':1 'chemic':10 'coat':3,6,8 'construct':2 'marin':7 'materi':11 'nutrit':13 'transport':5",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':7 'coat':3,6 'construct':2 'materi':8 'nutrit':10 'transport':5"
daf198cf-158d-41e8-963f-635bae452b66,C.A.S.E & Construction,Coatings,Other transportation coatings,Coatings for rail and other vehicles NEC,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'c.a.s.e':1 'chemic':14 'coat':3,6,7 'construct':2 'materi':15 'nec':13 'nutrit':17 'rail':9 'transport':5 'vehicl':12",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':7 'coat':3,6 'construct':2 'materi':8 'nutrit':10 'transport':5"
"941dccad-af3b-4f64-b0d2-aaae662141ea",C.A.S.E & Construction,Coatings,Industrial,,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'industri':4 'materi':6 'nutrit':8,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'industri':4 'materi':6 'nutrit':8
"3b56e8dc-50ed-41f8-9b10-7a778d8d6679",C.A.S.E & Construction,Coatings,Industrial,"Agricultural, Construction Equipment, Mining (ACME)",,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'acm':9 'agricultur':5 'c.a.s.e':1 'chemic':10 'coat':3 'construct':2,6 'equip':7 'industri':4 'materi':11 'mine':8 'nutrit':13",Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'industri':4 'materi':6 'nutrit':8
beb49dbb-102a-45ca-8c8a-5f9c92d1768a,C.A.S.E & Construction,Coatings,Industrial,Coil,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':6 'coat':3 'coil':5 'construct':2 'industri':4 'materi':7 'nutrit':9,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'industri':4 'materi':6 'nutrit':8
"91cb83db-ce5a-451b-a527-4a9b2cc525dc",C.A.S.E & Construction,Coatings,Industrial,Can,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':6 'coat':3 'construct':2 'industri':4 'materi':7 'nutrit':9,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'industri':4 'materi':6 'nutrit':8
"0620abf3-979e-4c27-8078-8205f46607c6",C.A.S.E & Construction,Coatings,Industrial,General Industrial,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'c.a.s.e':1 'chemic':7 'coat':3 'construct':2 'general':5 'industri':4,6 'materi':8 'nutrit':10",Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'industri':4 'materi':6 'nutrit':8
"5d8c7d7b-c989-4cd3-9b90-f7d5c0292bf8",C.A.S.E & Construction,Coatings,Construction,,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'c.a.s.e':1 'chemic':5 'coat':3 'construct':2,4 'materi':6 'nutrit':8",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':5 'coat':3 'construct':2,4 'materi':6 'nutrit':8"
ea4aa9f3-1898-4e7c-a476-52de224a6a2b,C.A.S.E & Construction,Coatings,Construction,Decorative,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'c.a.s.e':1 'chemic':6 'coat':3 'construct':2,4 'decor':5 'materi':7 'nutrit':9",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':5 'coat':3 'construct':2,4 'materi':6 'nutrit':8"
"7f7becdd-a88c-43b6-a41a-b03d2b55cf27",C.A.S.E & Construction,Coatings,Construction,"Protective (Anticorrosion, Fire, etc.)",,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'anticorros':6 'c.a.s.e':1 'chemic':9 'coat':3 'construct':2,4 'etc':8 'fire':7 'materi':10 'nutrit':12 'protect':5",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':5 'coat':3 'construct':2,4 'materi':6 'nutrit':8"
"3750d0d5-368c-45b8-8ab9-2df2ed666e09",C.A.S.E & Construction,Coatings,Construction,Road marking paints,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'c.a.s.e':1 'chemic':8 'coat':3 'construct':2,4 'mark':6 'materi':9 'nutrit':11 'paint':7 'road':5",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':5 'coat':3 'construct':2,4 'materi':6 'nutrit':8"
"67b5843b-9dbc-4f7a-a3ea-45c56638ff3d",C.A.S.E & Construction,Coatings,Wood,,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'materi':6 'nutrit':8 'wood':4,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'materi':6 'nutrit':8 'wood':4
"8ef6912e-f04f-41e7-88ec-1ffcc54fe177",C.A.S.E & Construction,Coatings,Wood,Interior/exterior trim and cladding paints,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':10 'clad':8 'coat':3 'construct':2 'interior/exterior':5 'materi':11 'nutrit':13 'paint':9 'trim':6 'wood':4,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'materi':6 'nutrit':8 'wood':4
"2071c36d-3787-469c-b935-f8b6b501102a",C.A.S.E & Construction,Coatings,Wood,Interior/exterior trim varnishes and stains,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':10 'coat':3 'construct':2 'interior/exterior':5 'materi':11 'nutrit':13 'stain':9 'trim':6 'varnish':7 'wood':4,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'materi':6 'nutrit':8 'wood':4
"66af2994-129b-4c2e-8c65-9a409928d22f",C.A.S.E & Construction,Coatings,Wood,Minimal build stains (thickness <5 microns),,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'5':9 'build':6 'c.a.s.e':1 'chemic':11 'coat':3 'construct':2 'materi':12 'micron':10 'minim':5 'nutrit':14 'stain':7 'thick':8 'wood':4,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'materi':6 'nutrit':8 'wood':4
dd4ef967-0192-45fd-881f-ef3120fb4668,C.A.S.E & Construction,Coatings,Wood,Primers,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':6 'coat':3 'construct':2 'materi':7 'nutrit':9 'primer':5 'wood':4,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'materi':6 'nutrit':8 'wood':4
"1542bdea-ba18-454c-b5e2-d139842fd6ea",C.A.S.E & Construction,Coatings,Wood,One and two-pack performance coatings,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'c.a.s.e':1 'chemic':12 'coat':3,11 'construct':2 'materi':13 'nutrit':15 'one':5 'pack':9 'perform':10 'two':8 'two-pack':7 'wood':4",Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'materi':6 'nutrit':8 'wood':4
"04a9f500-349a-4f21-8dcd-9c23ff42ed46",C.A.S.E & Construction,Coatings,Energy,,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'energi':4 'materi':6 'nutrit':8,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'energi':4 'materi':6 'nutrit':8
a8be3377-bc33-4e57-a7d0-efa8fb098341,C.A.S.E & Construction,Coatings,Energy,O&G (structural & pipelines),,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':9 'coat':3 'construct':2 'energi':4 'g':6 'materi':10 'nutrit':12 'o':5 'pipelin':8 'structur':7,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'energi':4 'materi':6 'nutrit':8
fe5cf13a-9e7c-4562-a629-e2d45a51f1c0,C.A.S.E & Construction,Coatings,Energy,Wind,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':6 'coat':3 'construct':2 'energi':4 'materi':7 'nutrit':9 'wind':5,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'energi':4 'materi':6 'nutrit':8
"0e53bead-fc58-445e-9308-e1e20fac3969",C.A.S.E & Construction,Coatings,Energy,Solar,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':6 'coat':3 'construct':2 'energi':4 'materi':7 'nutrit':9 'solar':5,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'energi':4 'materi':6 'nutrit':8
fb3f0f48-10d2-4b61-9954-85af17f8821a,C.A.S.E & Construction,Coatings,Energy,Others,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,'c.a.s.e':1 'chemic':6 'coat':3 'construct':2 'energi':4 'materi':7 'nutrit':9 'other':5,Chemicals Materials and Nutrition,'c.a.s.e':1 'chemic':5 'coat':3 'construct':2 'energi':4 'materi':6 'nutrit':8
"873ab63a-c31f-4965-b3a2-1a9bd6971200",C.A.S.E & Construction,Coatings,Coating Raw Materials,,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'c.a.s.e':1 'chemic':7 'coat':3,4 'construct':2 'materi':6,8 'nutrit':10 'raw':5",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':7 'coat':3,4 'construct':2 'materi':6,8 'nutrit':10 'raw':5"
"5cdecd57-b22a-40ac-ac55-cd4e225e22d2",C.A.S.E & Construction,Coatings,Coating Raw Materials,Resin,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'c.a.s.e':1 'chemic':8 'coat':3,4 'construct':2 'materi':6,9 'nutrit':11 'raw':5 'resin':7",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':7 'coat':3,4 'construct':2 'materi':6,8 'nutrit':10 'raw':5"
"1b260d64-eb0e-4b57-a36c-d9fdcc9f5b5e",C.A.S.E & Construction,Coatings,Coating Raw Materials,Pigments,,,,2023-01-16 13:02:46.000,2023-01-16 13:02:46.000,,"'c.a.s.e':1 'chemic':8 'coat':3,4 'construct':2 'materi':6,9 'nutrit':11 'pigment':7 'raw':5",Chemicals Materials and Nutrition,"'c.a.s.e':1 'chemic':7 'coat':3,4 'construct':2 'materi':6,8 'nutrit':10 'raw':5"
